x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
1671.2631,1385.7744,1827.9618,1559.9344,2,0.86361706,,car
1585.1803,1314.8738,1716.0681,1416.9705,2,0.8531627,,car
901.80835,1650.3094,1293.4504,2008.6718,2,0.7780108,,car
2461.9434,1184.2903,2738.7363,1396.5773,7,0.6427747,,truck
2184.7793,1244.8251,2272.4324,1312.8304,2,0.6298617,,car
2639.4785,1965.385,3173.2295,2153.5625,2,0.6222788,,car
2263.637,1256.7195,2419.6565,1384.1733,2,0.5195417,,car
541.2324,1128.8159,730.30005,1283.5148,5,0.46782744,,bus
2467.7317,1181.5138,2742.0571,1395.913,5,0.4205208,,bus
1513.0393,1051.6016,1662.5002,1152.5189,5,0.403629,,bus
1255.8516,1085.4537,1408.1902,1212.8302,5,0.32934922,,bus
1170.95,1079.8708,1415.5111,1219.9209,5,0.30104515,,bus
1573.259,1316.7683,1707.5801,1426.2533,2,0.881786,,car
1656.8676,1395.4713,1826.8363,1581.1952,2,0.82902026,,car
840.9234,1680.8903,1247.4288,2072.8354,2,0.8216022,,car
2625.7324,1931.4266,3153.3281,2153.3994,2,0.717512,,car
2183.4368,1246.3198,2272.7935,1309.5797,2,0.5263879,,car
2465.6042,1177.1837,2735.4534,1393.8707,7,0.5052289,,truck
2255.8772,1260.4526,2420.3723,1385.305,2,0.48959357,,car
2466.5063,1174.9955,2738.3499,1391.3031,5,0.4823126,,bus
541.97363,1125.9332,727.52325,1278.8329,5,0.4277806,,bus
1511.1592,1051.5344,1658.514,1150.0334,5,0.37957424,,bus
1563.2201,1321.5952,1699.6183,1437.3777,2,0.8706236,,car
750.39075,1719.5475,1203.3805,2144.1777,2,0.86460716,,car
2602.2798,1904.4291,3118.9924,2156.9812,2,0.74788034,,car
1641.0688,1403.3302,1820.8326,1603.3213,2,0.7225431,,car
2251.8567,1248.4519,2411.5723,1383.0352,2,0.51725674,,car
2463.3826,1176.0559,2733.075,1391.7286,7,0.5045484,,truck
2184.654,1235.7222,2271.419,1303.4799,2,0.43530944,,car
2484.8718,1176.9795,2737.271,1390.5337,5,0.40455285,,bus
544.2179,1124.4093,734.189,1272.2589,5,0.3186733,,bus
1517.7211,1052.8661,1632.738,1154.691,5,0.2943864,,bus
1551.2179,1332.7673,1693.003,1444.1683,2,0.85379267,,car
2584.3948,1872.6094,3085.5603,2159.0603,2,0.809085,,car
651.5884,1740.1616,1150.2739,2158.844,2,0.76394504,,car
1623.5797,1416.3224,1804.9889,1631.0176,2,0.6816115,,car
2462.4902,1175.0731,2729.7312,1391.6964,7,0.5911539,,truck
2485.1487,1177.7637,2731.6724,1390.0042,5,0.58933383,,bus
2250.5637,1252.6315,2409.5244,1383.1849,2,0.54382086,,car
2184.435,1235.87,2268.9368,1303.8376,2,0.44956502,,car
544.08026,1122.8739,727.88416,1278.007,5,0.42807254,,bus
1514.0134,1051.894,1652.5481,1150.5023,5,0.38344708,,bus
1535.5648,1338.6433,1682.978,1457.7056,2,0.87829465,,car
2569.0842,1850.7393,3056.3257,2156.641,2,0.8261776,,car
2458.309,1179.3374,2727.3203,1391.4628,7,0.60342693,,truck
1606.8457,1431.6185,1820.4653,1655.7814,2,0.6014999,,car
2473.1619,1181.2654,2729.9116,1390.7571,5,0.53922427,,bus
2245.6848,1253.1421,2403.6675,1381.053,2,0.41698396,,car
540.1696,1129.1968,730.2964,1282.8875,5,0.40963224,,bus
1513.9341,1052.8126,1647.2404,1153.0021,5,0.3925075,,bus
1259.9196,1085.6012,1408.6448,1211.7004,5,0.37002152,,bus
2187.015,1236.9551,2272.6826,1303.1895,2,0.35681576,,car
574.99347,1735.3433,1134.7332,2157.0374,2,0.33309045,,car
538.9993,1128.0125,728.2564,1286.1167,7,0.31866187,,truck
2248.4556,1248.3287,2400.895,1383.3666,7,0.26367322,,truck
1524.107,1346.709,1671.8223,1468.6934,2,0.8609871,,car
2553.8845,1824.7941,3017.293,2153.5847,2,0.7737465,,car
